State,District,Latitude,Longitude,District code,Households_with_Internet,Rural_Households,Urban_Households,Population,Sex Ratio,Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,5512,597466,220248,2741239,100.0,54.11
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,8606,902997,341431,4081148,98.0,56.63
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,13763,907970,395900,4174064,100.0,63.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,22411,1199479,406362,5154296,101.0,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,19383,1069877,513113,4887813,100.0,60.57
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,149034,0,1066289,3943323,95.0,73.34
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,8831,877236,288044,3776269,101.0,58.44
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,8628,669262,201363,2797370,101.0,58.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,30438,909292,567042,4517398,99.0,66.63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,10081,783853,306982,4053463,99.0,52.48
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,6153,848963,161052,4053028,98.0,47.88
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,8635,593653,195479,3033288,99.0,53.97
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,7715,833504,197433,3488809,98.0,57.36
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,5261,565165,155133,2551335,104.0,54.47
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,6151,873486,214089,3397448,98.0,56.05
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,3988,752752,149684,2703114,101.0,55.32
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,4453,592458,157056,2344474,102.0,52.82
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,12952,758738,288249,3512576,100.0,58.79
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,12050,1007255,248373,3936966,100.0,67.37
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,170,33422,6498,148226,93.0,49.37
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,57,14503,5215,78690,103.0,48.86
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,450,19497,9524,99214,98.0,63.07
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,95,18603,1092,92076,103.0,39.76
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,312,33599,11372,145726,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,207,12000,3950,54080,93.0,58.89
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,381,18112,5365,83030,98.0,65.11
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,2477,20308,30180,176573,98.0,68.55
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,96,10730,2452,49977,71.0,52.17
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,98,18420,6500,111975,94.0,42.84
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,97,8569,2182,35320,89.0,51.51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,139,14542,4672,83448,100.0,54.26
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,202,17889,6306,83947,82.0,57.77
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,303,22272,8503,112274,93.0,57.67
Assam,Barpeta,26.427872264631056,90.97912010178116,303,2078,447189,52192,1693622,95.0,52.97
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,2523,181923,38470,738804,97.0,58.75
Assam,Cachar,24.815570668693017,92.86849650455927,316,5316,346227,88933,1736617,96.0,67.61
Assam,Darrang,26.58463215962442,92.04141338028155,325,1166,268517,20189,928500,95.0,52.45
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,1192,211758,16504,686133,95.0,61.65
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,8817,299852,77163,1326335,96.0,66.69
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1364,228610,39504,1008183,96.0,55.9
Assam,Golaghat,26.377219709794485,93.82583397823468,313,3073,292893,34190,1066888,96.0,67.65
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,1211,159215,16202,659296,95.0,61.79
Assam,Jorhat,26.76244824016563,94.30197722567289,312,5651,286330,80824,1092256,96.0,72.78
Assam,Kamrup,26.170939452054807,91.58863273972592,321,3109,390596,43849,1517542,95.0,65.59
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,1923,215691,37185,956313,95.0,58.27
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1933,261945,32695,1228686,96.0,64.73
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,1218,204896,17115,887142,96.0,55.16
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1948,293239,34694,1042137,97.0,65.59
Assam,Nagaon,26.26462170626351,92.9306191144708,305,5121,674999,124186,2823768,96.0,60.58
Assam,Nalbari,26.46323767605632,91.40598521126763,323,1631,210706,28238,771639,95.0,68.91
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,4358,483325,64528,1924110,96.0,57.61
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,5135,290704,90910,1327929,95.0,60.12
Bihar,Araria,26.211528119180603,87.30766554934816,209,2561,659061,44213,2811569,92.0,42.53
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2362,428291,49006,2540073,93.0,57.71
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,23258,551789,427343,3701282,92.0,67.65
Bihar,Banka,24.832355642023337,86.8664916342413,225,1704,425604,18492,2034763,91.0,47.44
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,4644,594377,139248,2970541,89.0,52.13
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,6764,522527,130634,3037766,88.0,51.78
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,3661,434559,77368,2728407,91.0,58.61
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1784,299252,35405,1706352,92.0,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,6280,907174,95539,3937385,91.0,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,236,6856,696289,111282,4391418,94.0,52.32
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,3707,515925,38133,2562012,102.0,53.98
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1839,325909,30851,1760405,92.0,48.77
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1106,186660,28132,1125313,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,2941,668232,69838,3071029,92.0,41.69
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1580,373696,21007,1666886,89.0,46.08
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1093,401793,43357,1690400,95.0,44.08
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1186,175882,31763,1000912,90.0,50.68
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,1397,486278,24000,2001762,91.0,41.69
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,5319,1047552,41234,4487379,93.0,48.03
Bihar,Munger,25.198537962962963,86.54173672839504,226,2653,222281,85782,1367765,88.0,58.62
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,10290,998694,120700,4801062,90.0,52.26
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,4156,514141,102522,2877653,92.0,52.82
Bihar,Nawada,24.825708836206903,85.61594568965519,237,1841,379551,45323,2219146,94.0,49.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3495,839514,96620,3935042,91.0,44.71
Bihar,Patna,25.40297114503818,85.3198433587787,230,40692,657991,552103,5838465,90.0,59.26
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,7719,1142260,101565,5099371,90.0,44.65
Bihar,Purnia,25.81714801901739,87.40447606973065,211,4170,712847,85749,3264619,92.0,40.81
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,4594,512383,95678,2959918,92.0,60.81
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1668,432651,38046,1900661,91.0,42.35
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,5379,1012979,43486,4261566,91.0,50.28
Bihar,Saran,25.89656077844312,84.82266287425155,219,4509,701323,76299,3951862,95.0,54.59
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,631,108293,24345,636342,93.0,51.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,478,158484,7516,656246,89.0,43.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3460,807294,49670,3423574,90.0,41.97
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3834,632514,41858,3330464,99.0,57.96
Bihar,Supaul,26.28157893772896,86.78496465201461,208,1845,572287,27815,2229076,93.0,46.35
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,4810,699317,51494,3495021,89.0,55.13
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,44283,8911,289456,1055450,82.0,76.31
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1782,316425,54894,1413199,102.0,46.06
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,1574,152458,11987,381956,98.0,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,8566,549632,188174,2663629,97.0,59.94
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,1016,168689,41792,799781,101.0,68.37
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,16141,533448,349741,3343872,99.0,68.88
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,567,205670,20722,851669,101.0,58.17
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,4544,206598,126055,1206640,97.0,62.05
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,1667,121852,59763,658917,97.0,60.38
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,961,274793,35774,1032754,102.0,61.77
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,3342,354278,66638,1493984,99.0,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,38570,581868,377160,2634200,96.0,73.65
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,20261,673499,395001,4063872,98.0,64.71
